ANNOSCOLASTICO	        AREAGEOGRAFICA	REGIONE	    PROVINCIA	CODICEISTITUTORIFERIMENTO	DENOMINAZIONEISTITUTORIFERIMENTO	    CODICESCUOLA	            DENOMINAZIONESCUOLA				    INDIRIZZOSCUOLA		            CAPSCUOLA	        CODICECOMUNESCUOLA	DESCRIZIONECOMUNE	DESCRIZIONECARATTERISTICASCUOLA	DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA	INDICAZIONESEDEDIRETTIVO	INDICAZIONESEDEOMNICOMPRENSIVO	INDIRIZZOEMAILSCUOLA		            INDIRIZZOPECSCUOLA				            SITOWEBSCUOLA	                            SEDESCOLASTICA
                                
202324                  SUD             PUGLIA      BARI        BAIC88000L                  I.C. "CIFARELLI - SANTARELLA"           BAAA88002E                  EX MADONNA PELLEGRINA               VIA SANTA LUCIA19               70033               C983                CORATO              NORMALE                         SCUOLA INFANZIA                             NO                          Non Disponibile                 BAIC88000L@istruzione.it                Non Disponibile                             www.cifarellisantarella.edu.it              NO
202324                  SUD             PUGLIA      BARI        BAIC88000L                  I.C. "CIFARELLI - SANTARELLA"           BAIC88000L                  I.C. "CIFARELLI - SANTARELLA"       VIA ALDO MORO 100/A             70033               C983                CORATO              NORMALE                         ISTITUTO COMPRENSIVO                        SI                          Non Disponibile                 BAIC88000L@istruzione.it                baic88000l@pec.istruzione.it                Non Disponibile                             NO
202324                  CENTRO          LAZIO       ROMA        RMIC8A8005                  ORAZIO                                  RMIC8A8005                  ORAZIO                              VIA SINGEN 54                   71                  G811                POMEZIA             NORMALE                         ISTITUTO COMPRENSIVO                        SI                          Non Disponibile                 RMIC8A8005@istruzione.it                rmic8a8005@pec.istruzione.it                Non Disponibile                             NO
202324                  CENTRO          LAZIO       ROMA        RMIC8A8005                  ORAZIO                                  RMMM8A8016                  ORAZIO - POMEZIA                    VIA FRATELLI BANDIERA 29        71                  G811                POMEZIA             NORMALE                         SCUOLA PRIMO GRADO                          NO                          Non Disponibile                 RMIC8A8005@istruzione.it                Non Disponibile                             www.ic-orazio-pomezia.gov.it                NO
202324                  SUD             PUGLIA      BARI        BAPS09000R                  LICEO "O. TEDONE"                       BAPS09000R                  LICEO "O. TEDONE"                   VIA A.VOLTA 13                  70037               H645                RUVO DI PUGLIA      NORMALE                         LICEO SCIENTIFICO                           SI                          Non Disponibile                 BAPS09000R@istruzione.it                baps09000r@pec.istruzione.it                www.liceotedone.gov.it                      NO


RESULT WITH DATATYPES URIS

202324^^rdfs:Literal    Sud@it	        Puglia@it	BARI@it	    BAIC88000L^^rdfs:Literal	I.C. "CIFARELLI - SANTARELLA"@it	    BAAA88002E^^rdfs:Literal	EX MADONNA PELLEGRINA@it	        VIA SANTA LUCIA 19	            70033^^rdfs:Literal	C983^^rdfs:Literal	CORATO@it	        NORMALE^^xsd:string	            SCUOLA INFANZIA@it	                        NO^^xsd:string	            Non Disponibile^^xsd:string	    BAIC88000L@istruzione.it^^xsd:anyURI	Non Disponibile^^xsd:string	                www.cifarellisantarella.edu.it^^xsd:anyURI	NO^^xsd:string	
202324^^rdfs:Literal	Sud@it	        Puglia@it	BARI@it	    BAIC88000L^^rdfs:Literal	I.C. "CIFARELLI - SANTARELLA"@it	    BAIC88000L^^rdfs:Literal	I.C. "CIFARELLI - SANTARELLA"@it	VIA ALDO MORO 100/A	            70033^^rdfs:Literal	C983^^rdfs:Literal	CORATO@it	        NORMALE^^xsd:string	            ISTITUTO COMPRENSIVO@it	                    SI^^xsd:string	            Non Disponibile^^xsd:string	    BAIC88000L@istruzione.it^^xsd:anyURI	baic88000l@pec.istruzione.it^^xsd:anyURI	Non Disponibile^^xsd:string	                NO^^xsd:string	
202324^^rdfs:Literal	Centro@it	    Lazio@it	ROMA@it	    RMIC8A8005^^rdfs:Literal	ORAZIO@it	                            RMIC8A8005^^rdfs:Literal	ORAZIO@it	                        VIA SINGEN 54	                71^^rdfs:Literal	G811^^rdfs:Literal	POMEZIA@it	        NORMALE^^xsd:string	            ISTITUTO COMPRENSIVO@it	                    SI^^xsd:string	            Non Disponibile^^xsd:string	    RMIC8A8005@istruzione.it^^xsd:anyURI	rmic8a8005@pec.istruzione.it^^xsd:anyURI	Non Disponibile^^xsd:string	                NO^^xsd:string	
202324^^rdfs:Literal	Centro@it	    Lazio@it	ROMA@it	    RMIC8A8005^^rdfs:Literal	ORAZIO@it	                            RMMM8A8016^^rdfs:Literal	ORAZIO - POMEZIA@it	                VIA FRATELLI BANDIERA 29	    71^^rdfs:Literal	G811^^rdfs:Literal	POMEZIA@it	        NORMALE^^xsd:string	            SCUOLA PRIMO GRADO@it	                    NO^^xsd:string	            Non Disponibile^^xsd:string	    RMIC8A8005@istruzione.it^^xsd:anyURI	Non Disponibile^^xsd:string	                www.ic-orazio-pomezia.gov.it^^xsd:anyURI	NO^^xsd:string
202324^^rdfs:Literal	Sud@it	        Puglia@it	BARI@it	    BAPS09000R^^rdfs:Literal	LICEO "O. TEDONE"@it	                BAPS09000R^^rdfs:Literal	LICEO "O. TEDONE"@it	            VIA A. VOLTA 13	                70037^^rdfs:Literal	H645^^rdfs:Literal	RUVO DI PUGLIA@it	NORMALE^^xsd:string	            LICEO SCIENTIFICO@it	                    SI^^xsd:string	            Non Disponibile^^xsd:string	    BAPS09000R@istruzione.it^^xsd:anyURI	baps09000r@pec.istruzione.it^^xsd:anyURI	www.liceotedone.gov.it^^xsd:anyURI	        NO^^xsd:string
