school_id,page_url,page_template,page_menu_or,page_ungrouped_multim,metric
CBSL00201A,https://www.liceopagano.edu.it,9.0,2.0,6.0,2.9
RGTD03002X,https://www.itcbesta.edu.it,6.0,1.0,8.0,3.7
CSPS07301E,https://www.iismarconiguarasci.edu.it/,3.0,3.0,10.0,4.0
RERA014014,https://iiscastelnovonemonti.edu.it/,5.0,1.0,4.0,4.4
BSRC028018,https://sraffa.edu.it/,8.0,1.0,18.0,3.6
AGPS00101A,https://www.liceocanicatti.edu.it,9.0,3.0,23.0,3.5
PIPS04000G,https://www.liceofilippobuonarroti.it,6.0,1.0,4.0,3.5
GERC004014,https://www.ECG-GENOVA.edu.IT,8.0,1.0,10.0,3.2
BORI024024,https://www.malpighi-crevalcore.it,8.0,1.0,2.0,3.5
BARH05801Q,https://www.iissmorotrani.edu.it,8.0,1.0,2.0,3.6
BRPS030007,https://www.liceoribezzo.edu.it,8.0,1.0,2.0,3.0
AVRI021013,https://www.iissrinaldodaquino.it,5.0,1.0,3.0,4.2
PTRC010007,https://www.isteinaudi.edu.it/luigieinaudi/index.php,1.0,1.0,3.0,3.4
VATF00901C,http://www.superiorisesto.edu.it/web/index.php/it/old/120-MISC/221-redirect-vecchio-sito?,9.0,1.0,0.0,4.0
LETF00301P,https://www.qubodisco.it/,9.0,0.0,0.0,-1.0
CNPC007015,https://www.iisgovonealba.it/,8.0,1.0,16.0,3.2
RERI090008,https://www.galvaniiodi.it,5.0,1.0,3.0,4.3
BAPS06201N,https://www.istitutoromanazzi.it/,5.0,1.0,3.0,4.3
SRTF00901L,https://www.2superioreaugusta.edu.it,9.0,3.0,20.0,3.0
LUTD004012,https://www.isigarfagnana.edu.it,5.0,1.0,3.0,4.3
BSRH02000T,https://www.alberghierodemedici.edu.it,8.0,1.0,13.0,3.3
MIRI21000E,https://ipsiacernusco.edu.it/,5.0,1.0,3.0,4.2
RMPS02801A,https://www.iiscartesio.EDU.IT,2.0,3.0,25.0,3.7
METD009011,https://www.istitutosuperioreminutoli.edu.it/wordpress/,7.0,1.0,13.0,2.8
MOTD00301E,https://www.meuccicarpi.edu.it,8.0,1.0,10.0,3.3
MIPS02301P,https://www.iiscardano.edu.it,8.0,1.0,10.0,3.4
BLPS00701R,https://liceibelluno.edu.it/,5.0,1.0,3.0,4.4
BGPS01301D,https://www.istitutoturoldo.edu.it,4.0,3.0,0.0,4.7
PORI010006,https://www.marconiprato.edu.it,4.0,3.0,0.0,4.5
PCTF00601P,https://www.isii.it,8.0,1.0,26.0,2.8
BATD007011,https://www.iisseinaudi.edu.it/,9.0,3.0,85.0,2.3
AVTD023019,https://www.istitutosuperioreruggerosecondo.edu.it,9.0,1.0,0.0,3.0
LERI03303Q,http://www.iissparabita.edu.it/,5.0,1.0,3.0,4.0
NAPS00601E,https://www.isisrosariolivatino.edu.it,1.0,1.0,0.0,4.2
RNPS02000L,https://www.einsteinrimini.edu.it/,4.0,3.0,5.0,4.5
CSTF06402V,https://www.itisrossano.it,9.0,3.0,18.0,3.4
UDTN00401Q,https://www.isislatisana.it,9.0,1.0,1.0,-1.0
MOPS050007,https://www.liceowiligelmo.edu.it,8.0,1.0,20.0,3.0
KRRC00901E,https://www.pertinikr.it,9.0,1.0,1.0,-1.0
PTRH01000C,https://www.alberghieromontecatini.edu.it,6.0,1.0,0.0,4.0
PGTF003013,https://salvatorellimoneta.edu.it/,5.0,1.0,4.0,4.2
REPS016016,https://www.pascal.edu.it,2.0,3.0,25.0,3.4
CSPS18000D,https://www.ilpitagora.edu.it,9.0,1.0,0.0,4.0
VIPC023017,https://www.liceocorradini.edu.it,8.0,1.0,16.0,3.5
PRTD02000E,https://www.itemelloni.edu.it,9.0,3.0,20.0,3.5
NATN01301B,https://www.donmilanigragnano.edu.it,7.0,1.0,0.0,3.6
PZTD009014,https://www.iissbattaglini.edu.it,1.0,1.0,5.0,3.6
NAPS27000E,https://www.liceocarlomiranda.it,6.0,3.0,6.0,3.3
VBTD00301T,https://www.marconigalletti.it,9.0,1.0,28.0,3.1
SVTF00301V,https://www.patettacairo.edu.it,8.0,1.0,7.0,3.5
BGPC02000C,https://liceosarpi.bg.it/,5.0,1.0,9.0,4.0
BGTF01301G,https://www.istitutoturoldo.it,7.0,1.0,4.0,4.5
SATF06702G,https://www.iismatteifortunato.edu.it,7.0,1.0,8.0,4.0
TOPS01000G,https://www.lsgramsci.it,4.0,3.0,0.0,4.3
CBTD00701C,https://www.iissbojano.edu.it,9.0,1.0,0.0,3.9
MIRC061012,https://www.iisbellisario.edu.it,9.0,3.0,11.0,3.0
VRPS00801L,https://www.guarinoveronese.edu.it/,8.0,1.0,12.0,3.3
TOTD06401R,https://www.coplux.edu.it,9.0,1.0,0.0,4.4
SSPS024014,https://www.iisantoniosegni.edu.it,4.0,3.0,0.0,4.1
RMRI07701R,https://www.scuolesuperioridizagarolo.edu.it,2.0,3.0,7.0,3.1
VIRI02201Q,https://www.iisvaldagno.it,9.0,1.0,3.0,4.0
PDPC001011,https://www.iismarchesi.edu.it,8.0,1.0,15.0,3.5
NARI00601Q,https://www.istitutoalberghierougotognazzi.edu.it/,9.0,1.0,26.0,3.4
MTTF01101D,https://www.loperfido-olivetti.edu.it,5.0,1.0,4.0,4.2
CNRI02901A,https://www.cigna-baruffi-garelli.edu.it,9.0,1.0,23.0,3.5
CTTH007018,https://www.politecnicodelmare.it,9.0,1.0,1.0,-1.0
LETH00701D,https://www.avespucci.edu.it,9.0,1.0,21.0,3.0
MNPC02000G,https://www.liceovirgiliomantova.edu.it,8.0,1.0,35.0,2.8
SPRH010006,https://www.alberghierolaspezia.edu.it,8.0,1.0,12.0,3.3
BGRI00601G,https://gbrubini.edu.it/,5.0,1.0,3.0,4.4
BGRA027011,https://agrariacantoni.edu.it/,4.0,3.0,13.0,3.9
BATD220004,https://www.itesbitonto.edu.it,9.0,1.0,4.0,3.5
MOPS080003,https://www.liceoformiggini.edu.it/,8.0,1.0,15.0,3.3
BSTD02201L,https://www.iisdandolo.edu.it,9.0,3.0,9.0,3.4
RMTD03401D,http://iissambrosoli.edu.it/sitonuovo,9.0,1.0,5.0,3.4
CSPS03000G,https://www.liceoscorza.edu.it,5.0,1.0,3.0,4.0
PRRI010009,https://ipsialevi.edu.it/,5.0,1.0,12.0,4.0
BRPS11000V,https://www.liceopepecalamo.edu.it,8.0,1.0,12.0,3.0
SARA010027,https://www.profagrisalerno.edu.it,6.0,1.0,12.0,3.2
PCRC00301N,https://www.romagnosi.it,8.0,1.0,2.0,3.8
CZRA00301N,https://www.costanzoscuole.it,9.0,1.0,1.0,-1.0
MNPS010004,https://www.liceobelfioremantova.it,5.0,1.0,3.0,4.0
GETH020002,https://www.itnautico.edu.it,9.0,1.0,0.0,3.7
GERC02201N,https://istitutorosselli.edu.it/,7.0,1.0,3.0,4.0
FOPS040002,https://www.liceocalboli.edu.it,9.0,1.0,3.0,3.9
TVPC01000R,https://www.liceocanova.edu.it/,5.0,1.0,4.0,4.1
VVTD01000L,https://www.itegalilei.edu.it,5.0,1.0,6.0,4.0
CEPS110004,http://www.liceogarofano.it/jml3,8.0,1.0,24.0,3.0
TVSL022014,https://www.istitutorosselli.net,8.0,1.0,8.0,3.5
RMTF123016,https://www.itisgiovannixxiii.it,9.0,1.0,0.0,-1.0
MCRI009015,https://www.iisgaribaldimacerata.edu.it,8.0,1.0,9.0,3.7
BSTF018017,https://www.istitutomarzoli.edu.it,9.0,1.0,20.0,2.5
TAPC040009,https://www.titoliviomartinafranca.it,5.0,1.0,3.0,4.0
ANTD02201C,https://www.cupparisalvati.edu.it,8.0,1.0,12.0,3.3
NARH058011,https://www.isisdemedici.it,7.0,1.0,0.0,4.5
SIPS010009,https://www.liceoalessandrovolta.edu.it,5.0,1.0,0.0,4.2
PNTL012017,http://itstkennedy.edu.it/,8.0,1.0,11.0,3.4
ARPS002017,https://www.liceosansepolcro.it,9.0,3.0,0.0,4.5
MTTA01101R,https://www.iisgiustinofortunato.edu.it,9.0,3.0,12.0,3.5
NATD13801P,https://www.itcgpareto.com,9.0,2.0,22.0,2.4
PVTF012014,https://www.itiscardanopv.edu.it/,8.0,1.0,20.0,3.5
BAPS06301D,https://www.marconibari.it,1.0,1.0,0.0,3.7
BATD21001E,https://www.itcdevitidemarco.it,9.0,1.0,1.0,-1.0
SPTD110005,https://www.fossatidapassano.edu.it,6.0,1.0,5.0,3.5
FIPS00901T,https://www.russell-newton.edu.it,8.0,1.0,12.0,3.7
MIRC074014,https://www.marellidudovich.edu.it,9.0,3.0,15.0,4.0
RMSD06002N,https://www.liceoartisticoteramo.it/,9.0,1.0,0.0,2.0
BSPS070005,https://www.liceocopernicobrescia.edu.it,9.0,1.0,0.0,4.5
SOTF01000L,https://www.itisondrio.org,8.0,1.0,12.0,3.3
MOPS030002,http://www.liceofanti.edu.it/,8.0,1.0,34.0,3.0
NAPS01302P,https://www.donmilani.it,9.0,1.0,1.0,-1.0
PITD004019,https://www.antoniopesenti.edu.it,5.0,1.0,3.0,4.2
VERC004016,https://iisluzzatti.it/,9.0,1.0,1.0,-1.0
BSPS11000A,https://www.liceoleonardobs.edu.it,8.0,1.0,20.0,3.4
AGRC01602N,https://www.iissarena.edu.it,9.0,1.0,12.0,3.5
SATD034011,https://www.iisbestagloriosi.edu.it,9.0,1.0,1.0,-1.0
TVPC02000B,https://www.liceogiorgione.edu.it,9.0,1.0,0.0,4.0
POPS02000G,https://copernico.prato.it/,5.0,1.0,5.0,4.1
CARC00201B,https://www.azunicagliari.edu.it,9.0,3.0,24.0,3.5
TOTF00401B,https://istitutomoro.edu.it/,9.0,1.0,0.0,4.0
LITA00201D,https://www.polocattaneo.it,5.0,1.0,3.0,4.0
PAPS03902Q,https://www.isducabruzzi-grassi.edu.it/,6.0,1.0,8.0,3.5
LERH00701N,https://www.istitutoprestacolumella.edu.it/,6.0,1.0,31.0,2.8
MOPS04000L,https://www.liceomorandi.edu.it,8.0,1.0,14.0,3.5
SRTD004017,https://www.istitutoinsolera.edu.it,9.0,3.0,8.0,4.0
NATF17000Q,https://www.itiferraris.edu.it,6.0,1.0,16.0,3.4
VBTN006017,http://www.istitutomaggia.it/,9.0,1.0,1.0,-1.0
NARC00701V,https://www.istitutoaxelmunthe.edu.it,5.0,1.0,3.0,4.2
PARH01801B,https://www.pietrodomina.edu.it,9.0,3.0,12.0,3.2
SPPS01000C,https://www.liceopacinotti.edu.it,9.0,3.0,0.0,4.1
SIRI00301C,https://www.istitutosangiovannibosco.net,4.0,3.0,0.0,4.0
VISD020008,https://www.liceoartisticonove.vi.it,9.0,1.0,1.0,-1.0
RGTD006012,https://www.islapira.edu.it/,6.0,1.0,16.0,3.4
RNRC00601X,https://www.EINAUDI-MOLARI.IT,9.0,1.0,49.0,2.9
TOPS047017,https://www.galileiferrari.it,9.0,1.0,16.0,2.5
MNTD008011,https://www.giovannifalcone.edu.it/index.php/it/,9.0,1.0,4.0,4.0
GESL01000P,https://www.liceokleebarabino.edu.it/,8.0,1.0,15.0,3.2
LUPS020003,https://www.liceobarsantimatteucci.it,5.0,1.0,3.0,4.2
ANSD01002T,https://www.liceoartisticomannucci.edu.it/,8.0,1.0,16.0,3.2
AVRC028015,https://istitutosuperioreaeclanum.it/,9.0,1.0,1.0,-1.0
BLRH003017,https://www.polovalboite.edu.it,4.0,3.0,0.0,4.6
ANRA022016,https://www.cupparisalvati.edu.it/,8.0,1.0,18.0,3.3
PNTF009017,https://www.isiszanussi.edu.it,8.0,1.0,4.0,4.4
GERC01902V,https://www.itpchiavari.edu.it/,8.0,1.0,9.0,4.1
ROTD01101B,https://polotecnicoadria.edu.it/,4.0,3.0,0.0,4.0
NATF15000E,https://www.itismajoranasommaves.edu.it,7.0,1.0,4.0,4.1
PAPS010002,https://www.liceoggalileipalermo.edu.it/,6.0,1.0,17.0,3.3
PZSL016018,https://www.iismaratea.edu.it,5.0,1.0,3.0,4.5
VCRI01601X,https://iis-lancia.edu.it/,8.0,1.0,3.0,4.0
SARA010049,https://www.profagrisalerno.edu.it/,6.0,1.0,12.0,3.5
MEPS003016,https://www.liceosciasciafermi.edu.it,9.0,1.0,10.0,3.0
RIPS00801E,https://www.iisgregoriodacatino.edu.it,6.0,1.0,10.0,3.0
IMTN00402T,https://www.ruffiniaicardi.it,9.0,3.0,0.0,4.5
PGPS002015,https://www.casimiri.it,9.0,1.0,1.0,-1.0
SARH06901T,https://www.santacaterina-amendola.edu.it,5.0,1.0,3.0,4.0
PITL00301X,https://www.e-santoni.org,4.0,3.0,0.0,4.4
FIPS01801L,https://www.liceoagnoletti.it,8.0,1.0,11.0,3.6
CRSL00801R,https://www.istitutostradivari.edu.it/,8.0,1.0,22.0,2.9
BSTD03101B,https://www.istitutomantegna.edu.it,4.0,3.0,55.0,2.8
LOTD010003,https://www.bassi.edu.it,5.0,1.0,4.0,4.0
