CODICESCUOLA,SITOWEBSCUOLA,SITOWEBSCUOLA_FIX
CBSL00201A,www.liceopagano.gov.it,https://www.liceopagano.edu.it
RGTD03002X,www.itcbesta.gov.it,https://www.itcbesta.edu.it
CSPS07301E,http//www.iismarconiguarasci.gov.it/,https://www.iismarconiguarasci.edu.it/
RERA014014,www.iiscastelnovonemonti.gov.it,https://iiscastelnovonemonti.edu.it/
BSRC028018,www.sraffa.gov.it,https://sraffa.edu.it/
AGPS00101A,http//www.liceocanicatti.edu.it,https://www.liceocanicatti.edu.it
PIPS04000G,www.liceofilippobuonarroti.it,https://www.liceofilippobuonarroti.it
GERC004014,WWW.ECG-GENOVA.GOV.IT,https://www.ECG-GENOVA.edu.IT
BORI024024,www.malpighi-crevalcore.it,https://www.malpighi-crevalcore.it
BARH05801Q,iissmorotrani.gov.it,https://www.iissmorotrani.edu.it
BRPS030007,www.liceoribezzo.gov.it,https://www.liceoribezzo.edu.it
AVRI021013,www.iissrinaldodaquino.it,https://www.iissrinaldodaquino.it
SAPM050003,www.reginamargherita.edu.it,https://www.reginamargherita.edu.it
PTRC010007,http//www.isteinaudi.gov.it,https://www.isteinaudi.edu.it/luigieinaudi/index.php
VATF00901C,www.superiorisesto.it,http://www.superiorisesto.edu.it/web/index.php/it/old/120-MISC/221-redirect-vecchio-sito?
TOPM02301Q,www.istituto-albert.it,https://www.istituto-albert.it
LETF00301P,www.salveminialessano.it,https://www.qubodisco.it/
CNPC007015,www.classicogovone.it,https://www.iisgovonealba.it/
RERI090008,http//www.galvaniiodi.it,https://www.galvaniiodi.it
SRTF00901L,www.2superioreaugusta.gov.it,https://www.2superioreaugusta.edu.it
LUTD004012,www.isigarfagnana.gov.it,https://www.isigarfagnana.edu.it
BSRH02000T,www.alberghierodemedici.gov.it,https://www.alberghierodemedici.edu.it
MIRI21000E,www.ipsiacernusco.gov.it,https://ipsiacernusco.edu.it/
RMPS02801A,www.iiscartesio.EDU.IT,https://www.iiscartesio.EDU.IT
METD009011,www.istitutosuperioreminutoli.gov.it,https://www.istitutosuperioreminutoli.edu.it/wordpress/
MOTD00301E,www.meuccicarpi.gov.it,https://www.meuccicarpi.edu.it
MIPS02301P,www.iiscardano.gov.it,https://www.iiscardano.edu.it
BLPS00701R,www.liceibelluno.gov.it,https://liceibelluno.edu.it/
BGPS01301D,www.istitutoturoldo.edu.it,https://www.istitutoturoldo.edu.it
PORI010006,www.marconiprato.edu.it,https://www.marconiprato.edu.it
PCTF00601P,www.isii.it,https://www.isii.it
BATD007011,www.iisseinaudi.it,https://www.iisseinaudi.edu.it/
